Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Toyota,Axio,2018.0,8.0,125000.0,1500.0,Galle,Used,Hybrid,Automatic,Saloon,red
Toyota,Yaris,2025.0,1.0,10000.0,1000.0,Wattala,Brand New,Petrol,Automatic,Hatchback,white
Honda,Fit,2012.0,14.0,164000.0,1330.0,Siyambalape,Reconditioned,Petrol,Automatic,Hatchback,blue
Toyota,CHR,2019.0,7.0,20481.0,1190.0,Pilimatalawa,Used,Petrol,Automatic,Hatchback,white
Daihatsu,Taft,2024.0,2.0,0.0,890.0,Gampaha,Brand New,Petrol,Automatic,Station wagon,black
Suzuki,Maruti,2006.0,20.0,112000.0,800.0,Divulapitiya,Used,Petrol,Manual,Hatchback,gray
Toyota,Vitz,2017.0,9.0,140000.0,1000.0,Boralesgamuwa,Used,Hybrid,Automatic,Liftback,black
Toyota,Premio,2017.0,9.0,0.0,1500.0,Ambalangoda,Used,Petrol,Automatic,Sedan,brown
Toyota,Allion,2011.0,15.0,205000.0,1500.0,Alutgama,Reconditioned,Petrol,Automatic,Liftback,black
Suzuki,Swift,2017.0,9.0,77000.0,1000.0,Bandaragama,Used,Petrol,Automatic,Hatchback,gray
Toyota,Corolla,2008.0,18.0,128000.0,1600.0,Anuradhapura,Used,Petrol,Manual,Liftback,blue
Mazda,Demio,2009.0,17.0,178000.0,1300.0,Talawatugoda,Used,Petrol,Automatic,Hatchback,white
Nissan,Sunny,1987.0,39.0,152520.0,1500.0,Kohuwala,Used,Petrol,Manual,Saloon,white
Suzuki,Wagon R,2014.0,12.0,90000.0,650.0,Matara,Reconditioned,Petrol,Automatic,Hatchback,gray
Suzuki,Wagon R,2024.0,2.0,0.0,660.0,Kurunegala,Brand New,Hybrid,Manual,Station wagon,white
Suzuki,Wagon R,2023.0,3.0,18000.0,658.0,Polonnaruwa,Used,Petrol,Automatic,Hatchback,black
Honda,City,2025.0,1.0,0.0,1000.0,Kurunegala,Brand New,Petrol,Automatic,Hatchback,white
Honda,Insight,2009.0,17.0,0.0,1330.0,Kuruwita,Used,Hybrid,Automatic,Sedan,blue
Suzuki,Swift,2004.0,22.0,154000.0,1300.0,Panadura,Used,Petrol,Automatic,Hatchback,beige
Suzuki,Baleno,2016.0,10.0,131440.0,1000.0,Morontuduwa,Used,Petrol,Automatic,Hatchback,red
Mitsubishi,eK,2023.0,3.0,6600.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,silver
Suzuki,Wagon R,2018.0,8.0,72000.0,650.0,Kurunegala,Used,Hybrid,Automatic,Hatchback,white
Suzuki,Wagon R,2017.0,9.0,160000.0,650.0,Panadura,Used,Petrol,Automatic,Hatchback,white
BMW,3 Series,2017.0,9.0,136000.0,1500.0,Ambalangoda,Used,Petrol,Tiptronic,Saloon,white
Toyota,Axio,2010.0,16.0,180000.0,1500.0,Ambalangoda,Used,Petrol,Automatic,Saloon,white
Honda,Fit,2013.0,13.0,85000.0,1500.0,Kohuwala,Used,Petrol,Automatic,Hatchback,other
Micro,Panda,2014.0,12.0,128000.0,1000.0,Maharagama,Used,Petrol,Automatic,Sports,yellow
Toyota,Axio,2016.0,10.0,120.0,1500.0,Negombo,Used,Hybrid,Automatic,Saloon,white
Suzuki,Wagon R,2025.0,1.0,0.0,650.0,Akkaraipattu,Brand New,Hybrid,Automatic,Sedan,white
Suzuki,Alto,2017.0,9.0,200000.0,660.0,Matale,Used,Petrol,Automatic,Hatchback,silver
Toyota,Yaris,2025.0,1.0,0.0,1000.0,Horana,Brand New,Petrol,Automatic,Hatchback,white
Toyota,Axio,2015.0,11.0,136000.0,1500.0,Akuressa,Used,Petrol,Automatic,Saloon,white
Suzuki,Wagon R,2023.0,3.0,0.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,other
Suzuki,A Star,2011.0,15.0,140000.0,1000.0,Panadura,Used,Petrol,Manual,Hatchback,black
Suzuki,Wagon R,2018.0,8.0,12000.0,650.0,Maharagama,Used,Petrol,Automatic,Station wagon,white
Suzuki,Alto,2024.0,2.0,0.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,black
Audi,A3,2018.0,8.0,100000.0,1400.0,Sri Jayawardenepura Kotte,Used,Petrol,Tiptronic,Sedan,white
Toyota,Aqua,2014.0,12.0,195000.0,1500.0,Ampara,Used,Hybrid,Automatic,,white
Toyota,Carina,1997.0,29.0,0.0,1500.0,Dodangoda,Reconditioned,Petrol,Manual,Saloon,gray
Suzuki,Wagon R,2014.0,12.0,89000.0,,Hokandara,Used,Petrol,Automatic,Hatchback,purple
Honda,Fit,2012.0,14.0,0.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Hatchback,white
Suzuki,Wagon R,2017.0,9.0,160000.0,790.0,Moratuwa,Used,Petrol,Automatic,Hatchback,white
Perodua,Kelisa,2007.0,19.0,176000.0,1000.0,Matale,Used,Petrol,Manual,Hatchback,blue
Suzuki,Wagon R,2014.0,12.0,49120.0,660.0,Pannala,Used,Petrol,Automatic,Hatchback,purple
Suzuki,Alto,2006.0,20.0,0.0,650.0,Kuruwita,Used,Petrol,Manual,Liftback,black
Suzuki,Spacia,2017.0,9.0,132000.0,660.0,Ja-Ela,Used,Petrol,Automatic,,white
Toyota,Axio,2015.0,11.0,145000.0,1496.0,Marawila,Used,Petrol,Automatic,Sedan,white
Toyota,Axio,2013.0,13.0,103050.0,1500.0,Narahenpita (Colombo 05),Used,Hybrid,Automatic,Saloon,white
Toyota,Aqua,2013.0,13.0,163000.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,silver
Suzuki,Alto,2016.0,10.0,104000.0,800.0,Homagama,Used,Petrol,Manual,Hatchback,black
Suzuki,Wagon R,2024.0,2.0,2700.0,650.0,Moratuwa,Brand New,Hybrid,Automatic,Liftback,white
Suzuki,Wagon R,2023.0,3.0,8800.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,other
Toyota,Vitz,2008.0,18.0,180000.0,1300.0,Homagama,Used,Petrol,Automatic,Hatchback,orange
Toyota,Axio,2015.0,11.0,50500.0,1500.0,Kandana,Used,Petrol,Automatic,Saloon,brown
Suzuki,Celerio,2016.0,10.0,102000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white
Daihatsu,Mira,1988.0,38.0,125000.0,850.0,Homagama,Used,Petrol,Manual,Hatchback,red
Suzuki,Alto,2016.0,10.0,112750.0,800.0,Panadura,Used,Petrol,Manual,Hatchback,white
Mitsubishi,Lancer,2002.0,24.0,141321.0,1500.0,Nikaweratiya,Used,Petrol,Manual,Saloon,silver
Suzuki,Celerio,2015.0,11.0,0.0,1000.0,Ambalangoda,Used,Petrol,Manual,Hatchback,white
Toyota,Aqua,2016.0,10.0,140000.0,,Kadawatha,Used,Petrol,Automatic,Liftback,white
Suzuki,Wagon R,2018.0,8.0,78000.0,650.0,Batticaloa,Used,Petrol,Automatic,Station wagon,white
Toyota,Axio,2015.0,11.0,153000.0,1500.0,Kurunegala,Used,Petrol,Automatic,Sedan,silver
Suzuki,Wagon R,2017.0,9.0,160000.0,,Negombo,Used,Petrol,Automatic,,white
Suzuki,Wagon R,2024.0,2.0,3000.0,650.0,Negombo,Brand New,Petrol,Automatic,Hatchback,purple
Perodua,Kelisa,2006.0,20.0,80000.0,989.0,Anuradhapura,Used,Petrol,Automatic,,gold
Toyota,Premio,2019.0,7.0,98000.0,1500.0,Negombo,Used,Petrol,Automatic,Sedan,white
Toyota,Aqua,2014.0,12.0,168000.0,1200.0,Pussellawa,Used,Hybrid,Automatic,Hatchback,blue
Perodua,Elite,2012.0,14.0,103000.0,1000.0,Adampan,Used,Petrol,Automatic,Hatchback,silver
Suzuki,Alto,2015.0,11.0,120000.0,660.0,Rajagiriya,Used,Petrol,Tiptronic,Hatchback,blue
Suzuki,Wagon R,2014.0,12.0,35000.0,660.0,Kaduwela,Used,Hybrid,Automatic,,white
Micro,Panda,2015.0,11.0,82000.0,1000.0,Wanela,Used,Petrol,Manual,Hatchback,orange
Honda,Fit,2014.0,12.0,180000.0,1500.0,Hapugala,Used,Hybrid,Automatic,Hatchback,white
KIA,Rio,2015.0,11.0,145000.0,1500.0,Ambalangoda,Used,Petrol,Automatic,Saloon,red
Suzuki,Wagon R,2017.0,9.0,110000.0,660.0,Katunayake,Used,Hybrid,Automatic,Liftback,white
Suzuki,Wagon R,2017.0,9.0,74000.0,650.0,Anamaduwa,Used,Petrol,Automatic,Hatchback,white
Toyota,Tank,2018.0,8.0,80000.0,1200.0,Kandy,Used,Petrol,Automatic,Hatchback,white
Honda,ARIA,2008.0,18.0,1234.0,1500.0,Ella,Used,Petrol,Automatic,Saloon,silver
