Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Toyota,Aqua,2015.0,11.0,106000.0,1000.0,Anuradhapura,Used,Petrol,Automatic,Liftback,white,7800000.0
Maruti,Estilo,2011.0,15.0,64384.0,1000.0,Watinapaha,Used,Petrol,Manual,Hatchback,silver,3700000.0
Toyota,Vitz,2007.0,19.0,149000.0,1000.0,Waikkal,Used,Petrol,Automatic,Hatchback,silver,5200000.0
Toyota,Aqua,2014.0,12.0,158000.0,1500.0,Dehiwala,Used,Hybrid,Automatic,Liftback,black,7750000.0
Suzuki,Wagon R,2014.0,12.0,100000.0,650.0,Alutgama,Used,Hybrid,Automatic,Hatchback,silver,5375000.0
Chery,QQ,2007.0,19.0,65900.0,800.0,Padukka,Used,Petrol,Manual,Hatchback,green,1790000.0
Perodua,Kelisa,2007.0,19.0,75000.0,1000.0,Kelaniya,Used,Petrol,Other,Hatchback,silver,3450000.0
Suzuki,Spacia,2025.0,1.0,0.0,660.0,Kurunegala,Brand New,Hybrid,Automatic,Liftback,white,8400000.0
Daihatsu,Mira,2024.0,2.0,0.0,660.0,Ratmalana,Brand New,Petrol,Automatic,,blue,6900000.0
Suzuki,Wagon R,2017.0,9.0,81000.0,,Narahenpita (Colombo 05),Used,Petrol,Automatic,,maroon,5750000.0
Nissan,Sunny,2001.0,25.0,184177.0,1498.0,Kurunegala,Brand New,Petrol,Manual,Saloon,silver,4650000.0
Toyota,Allion,2016.0,10.0,108000.0,1500.0,Delgoda,Used,Petrol,Automatic,,red,12950000.0
Lexus,LX,2014.0,12.0,131500.0,1500.0,Panadura,Used,Petrol,Manual,Sedan,white,14500000.0
Mitsubishi,Lancer,2003.0,23.0,115000.0,,Anuradhapura,Used,Petrol,Manual,Liftback,black,5600000.0
Toyota,Corolla,1997.0,29.0,250000.0,1500.0,Matale,Used,Petrol,Automatic,Saloon,white,3200000.0
Toyota,Axio,2015.0,11.0,52000.0,1490.0,Gampaha,Used,Petrol,Automatic,Sedan,other,10700000.0
BMW,M Series,2017.0,9.0,90000.0,2000.0,Katugastota,Used,Petrol,Automatic,Saloon,black,28000000.0
Honda,Insight,2009.0,17.0,104045.0,1333.0,Embilipitiya,Reconditioned,Hybrid,Automatic,Saloon,blue,6850000.0
Toyota,Vitz,2016.0,10.0,0.0,990.0,Welpalla,Used,Petrol,Automatic,Hatchback,black,7200000.0
Suzuki,Alto,2015.0,11.0,103000.0,800.0,Homagama,Used,Petrol,Manual,Liftback,black,3675000.0
Suzuki,Wagon R,2017.0,9.0,73000.0,650.0,Anuradhapura,Used,Petrol,Automatic,Hatchback,black,5300000.0
Suzuki,Alto,2015.0,11.0,112877.0,800.0,Dehiwala,Used,Petrol,Manual,Liftback,brown,3980000.0
Suzuki,Wagon R,2017.0,9.0,119000.0,650.0,Malabe,Used,Hybrid,Automatic,Hatchback,brown,5875000.0
Suzuki,Swift,2017.0,9.0,76000.0,1000.0,Kalutara,Used,Petrol,Automatic,Hatchback,silver,7700000.0
Toyota,Aqua,2013.0,13.0,152000.0,1500.0,Nittambuwa,Used,Hybrid,Automatic,Hatchback,white,7550000.0
Suzuki,Alto,2014.0,12.0,58000.0,650.0,Batticaloa,Used,Petrol,Manual,Hatchback,gray,3800000.0
Suzuki,Wagon R,2017.0,9.0,169000.0,650.0,Gampaha,Reconditioned,Petrol,Automatic,Hatchback,black,6250000.0
Suzuki,Alto,2015.0,11.0,110.0,800.0,Hanwella,Used,Petrol,Manual,Hatchback,red,3750000.0
Nissan,March,1995.0,31.0,170000.0,1000.0,Horana,Used,Petrol,Manual,Hatchback,navy,2675000.0
