Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Suzuki,Alto,2015.0,11.0,112000.0,800.0,Embilipitiya,Brand New,Petrol,Manual,Hatchback,silver
Suzuki,Wagon R,2014.0,12.0,100000.0,650.0,Wattala,Used,Petrol,Automatic,Sedan,white
Honda,Fit,2012.0,14.0,159000.0,1330.0,Wattala,Used,Petrol,Automatic,Hatchback,silver
Suzuki,Alto,2015.0,11.0,46000.0,680.0,Badulla,Reconditioned,Petrol,Manual,Hatchback,gray
Toyota,Axio,2018.0,8.0,106000.0,1500.0,Padukka,Used,Hybrid,Automatic,Sedan,white
Mercedes Benz,E Class,2015.0,11.0,70000.0,2000.0,Kohuwala,Used,Diesel,Automatic,Sedan,black
BMW,5 Series,2010.0,16.0,160000.0,2497.0,Pita Kotte,Used,Petrol,Automatic,,black
Suzuki,Wagon R,2018.0,8.0,92000.0,998.0,Baddegama,Used,Petrol,Automatic,Hatchback,white
Suzuki,Wagon R,2018.0,8.0,82000.0,650.0,Samanthurai,Used,Petrol,Automatic,Station wagon,white
Suzuki,Wagon R,2018.0,8.0,85000.0,650.0,Kalmunai,Used,Petrol,Automatic,Sedan,white
Suzuki,Celerio,2014.0,12.0,87000.0,1000.0,Dehiwala,Used,Petrol,Tiptronic,Hatchback,yellow
Toyota,Premio,2016.0,10.0,139000.0,1500.0,Nugegoda,Used,Petrol,Automatic,Liftback,white
Toyota,Yaris,2023.0,3.0,76500.0,1000.0,Kotte,Reconditioned,Petrol,Automatic,Hatchback,white
Toyota,Vitz,2016.0,10.0,0.0,1000.0,Ratnapura,Used,Petrol,Automatic,,black
Toyota,Allion,2010.0,16.0,155000.0,1300.0,Kollupitiya (Colombo 03),Used,Petrol,Manual,Hatchback,white
Mazda,Flair,2025.0,1.0,10000.0,650.0,Panadura,Reconditioned,Hybrid,Automatic,Hatchback,white
Micro,Panda,2014.0,12.0,0.0,1000.0,Panadura,Used,Petrol,Manual,Hatchback,blue
Nissan,Sunny,2001.0,25.0,1500.0,1490.0,Thalapathpitiya,Reconditioned,Petrol,Manual,,white
Tata,Indica,2015.0,11.0,120000.0,1200.0,Matale,Used,Petrol,Manual,Hatchback,maroon
Suzuki,Spacia,2018.0,8.0,130000.0,660.0,Pannipitiya,Used,Hybrid,Automatic,Sedan,blue
Nissan,NV100,2016.0,10.0,84000.0,800.0,Dematagoda (Colombo 09),Used,Petrol,Automatic,Convertible,white
