Raw_Title,Raw_Price,Raw_Mileage,Raw_Metadata,Colour,Condition,Engine/Motor Capacity,Fuel Type,Manufacturer,Mileage,Model,Model Year,Power,Register Year,Transmission,Vehicle Type
Suzuki Zen 2004,"Rs: 2,250,000",km Find,"2026-02-20 | Galewela 130,000",silver,Used,1000,Petrol,Suzuki,130000,Zen,2004,1000,2005,Manual,Car(Hatchback)
Toyota Aqua 2015,"Rs: 7,800,000",km Find,"2026-02-20 | Ratnapura 124,000",purple,Used,1500,Hybrid,Toyota,124000,Aqua,2015,1500,2015,Automatic,Car(Saloon)
Honda City 2003,"Rs: 4,350,000",km Find,"2026-02-20 | Piliyandala 190,000",blue,Used,1490,Petrol,Honda,190000,City,2003,1490,2007,Automatic,Car(Hatchback)
Nissan N 16 2000,"Rs: 3,950,000",km Find,"2026-02-20 | Ganemulla 145,000",maroon,Used,1300,Petrol,Nissan,145000,N 16,2000,1300,2001,Manual,Car(Saloon)
Toyota Axio 2015,"Rs: 10,250,000",km Find,"2026-02-20 | Kurunegala 137,000",white,Used,1500,Petrol,Toyota,137000,Axio,2015,1500,2015,Automatic,Car(Convertible)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Daihatsu Cast 2023,"Rs: 7,300,000",km Find,"2026-02-20 | Kottawa 6,600",brown,Brand New,660,Petrol,Daihatsu,6600,Cast,2023,660,Ref:,Automatic,Car(Hatchback)
Nissan FB 15 2003,"Rs: 4,850,000",km Find,"2026-02-20 | Giriulla 190,000",silver,Used,1490,Petrol,Nissan,190000,FB 15,2003,1490,2006,Automatic,Car(Saloon)
Toyota Premio 2008,"Rs: 8,500,000",km Find,"2026-02-20 | Kandy 128,000",red,Used,1500,Petrol,Toyota,128000,Premio,2008,1500,2010,Automatic,Car(Saloon)
Perodua Kelisa 2007,"Rs: 2,850,000",km Find,"2026-02-20 | Matale 176,000",blue,Used,1000,Petrol,Perodua,176000,Kelisa,2007,1000,2007,Manual,Car(Hatchback)
Toyota Axio 2007,"Rs: 7,250,000",km Find,"2026-02-20 | Matale 160,000",silver,Used,1500,Petrol,Toyota,160000,Axio,2007,1500,2010,Automatic,Car(Sedan)
Toyota Prius 2014,"Rs: 10,800,000",km Find,"2026-02-20 | Kalutara 144,000",white,Used,1800,Hybrid,Toyota,144000,Prius,2014,1800,2014,Automatic,Car(Hatchback)
Nissan Dayz 2024,"Rs: 7,325,000",km Find,"2026-02-20 | Kottawa 6,600",black,Brand New,660,Petrol,Nissan,6600,Dayz,2024,660,Ref:,Automatic,Car(Hatchback)
BMW 5 Series 2010,"Rs: 16,900,000",km Find,"2026-02-20 | Pita Kotte 160,000",black,Used,2497,Petrol,BMW,160000,5 Series,2010,2497,2010,Automatic,Car()
Nissan ExSunny 2003,"Rs: 4,600,000",km Find,"2026-02-20 | Panadura 221,113",silver,Used,1290,Petrol,Nissan,221113,ExSunny,2003,1290,2006,Automatic,Car(Saloon)
Toyota Axio 2017,"Rs: 11,750,000",km Find,"2026-02-20 | Kohuwala 121,000",other,Used,1500,Hybrid,Toyota,121000,Axio,2017,1500,2017,Automatic,Car(Saloon)
Suzuki Spacia 2023,"Rs: 9,250,000",,2026-02-20 | Kohuwala Find Out More,silver,Reconditioned,658,Petrol,Suzuki,0,Spacia,2023,658,2023,Automatic,Car(Hatchback)
Honda Civic 2003,"Rs: 5,625,000",km Find,"2026-02-20 | Colombo Fort (Colombo 01) 212,647",silver,Used,1490,Petrol,Honda,212647,Civic,2003,1490,2007,Automatic,Car(Hatchback)
Nissan Cefiro 1999,"Rs: 2,880,000",km Find,"2026-02-20 | Gampaha 210,000",blue,Used,1500,Petrol,Nissan,210000,Cefiro,1999,1500,2002,Automatic,Car(Sedan)
Toyota Wigo 2017,"Rs: 5,600,000",km Find,"2026-02-19 | Homagama 129,000",red,Used,1000,Petrol,Toyota,129000,Wigo,2017,1000,2017,Automatic,Car(Liftback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
Toyota Vitz 2018,"Rs: 8,100,000",km Find,"2026-02-19 | Kalmunai 56,000",white,Used,1000,Hybrid,Toyota,56000,Vitz,2018,1000,2019,Automatic,Car(Sedan)
Suzuki Alto 2015,"Rs: 3,775,000",km Find,2026-02-19 | Badulla 22,blue,Used,850,Petrol,Suzuki,22.17,Alto,2015,850,2015,Manual,Car(Liftback)
Suzuki Wagon R 2018,"Rs: 7,100,000",km Find,"2026-02-19 | Batticaloa 75,000",white,Used,650,Hybrid,Suzuki,75000,Wagon R,2018,650,2018,Automatic,Car(Sedan)
Suzuki Alto 2015,"Rs: 3,600,000",km Find,"2026-02-19 | Balana 125,000",gray,Used,800,Petrol,Suzuki,125000,Alto,2015,800,2015,Manual,Car(Liftback)
Suzuki Swift 2003,"Rs: 4,400,000",km Find,"2026-02-19 | Horana 154,000",black,Used,1300,Petrol,Suzuki,154000,Swift,2003,1300,2006,Automatic,Car(Hatchback)
Nissan Sunny 2001,"Rs: 4,650,000",km Find,"2026-02-19 | Kurunegala 184,177",silver,Brand New,1498,Petrol,Nissan,184177,Sunny,2001,1498,2005,Manual,Car(Saloon)
Perodua Kenari 2007,"Rs: 3,595,000",,2026-02-19 | Panadura Find Out More,black,Used,1000,Petrol,Perodua,0,Kenari,2007,1000,2007,Automatic,Car(Liftback)
Suzuki SX 2018,"Rs: 5,250,000",km Find,"2026-02-19 | Piliyandala 81,000",black,Used,1200,Petrol,Suzuki,81000,SX,2018,1200,2010,Automatic,Car(Hatchback)
Suzuki Wagon R 2017,"Rs: 6,500,000",km Find,"2026-02-19 | Alawatugoda 109,000",black,Used,650,Petrol,Suzuki,109000,Wagon R,2017,650,2018,Automatic,Car(Station wagon)
Micro Panda Cross 2014,"Rs: 3,495,000",,2026-02-19 | Panadura Find Out More,red,Used,1300,Petrol,Micro,0,Panda Cross,2014,1300,2014,Manual,Car(Hatchback)
Micro Panda 2014,"Rs: 2,895,000",,2026-02-19 | Panadura Find Out More,blue,Used,1000,Petrol,Micro,0,Panda,2014,1000,2014,Manual,Car(Hatchback)
Suzuki Wagon R 2024,"Rs: 7,500,000",km Find,"2026-02-19 | Kurunegala 2,500",white,Brand New,690,Hybrid,Suzuki,2500,Wagon R,2024,690,Ref:,Automatic,Car(Hatchback)
Daihatsu Mira 2024,"Rs: 6,250,000",km Find,"2026-02-19 | Kurunegala 2,500",red,Brand New,690,Hybrid,Daihatsu,2500,Mira,2024,690,Ref:,Automatic,Car(Hatchback)
Toyota Custom 2024,"Rs: 8,990,000",km Find,"2026-02-19 | Kurunegala 2,500",white,Brand New,690,Hybrid,Toyota,2500,Custom,2024,690,Ref:,Automatic,Car(Hatchback)
Micro MX7 2012,"Rs: 3,295,000",,2026-02-19 | Panadura Find Out More,red,Used,1500,Petrol,Micro,0,MX7,2012,1500,2012,Manual,Car(Sedan)
Micro Panda Cross 2013,"Rs: 2,995,000",,2026-02-19 | Panadura Find Out More,silver,Used,1300,Petrol,Micro,0,Panda Cross,2013,1300,2013,Manual,Car(Hatchback)
Suzuki Wagon R 2018,"Rs: 6,300,000",km Find,"2026-02-19 | Akurana 88,000",red,Used,650,Petrol,Suzuki,88000,Wagon R,2018,650,2018,Automatic,Car(Liftback)
Micro Panda 2012,"Rs: 2,495,000",,2026-02-19 | Panadura Find Out More,orange,Used,1300,Petrol,Micro,0,Panda,2012,1300,2012,Manual,Car(Hatchback)
Honda Civic 2017,"Rs: 12,500,000",km Find,"2026-02-19 | Telijjawila 82,285",silver,Used,1000,Petrol,Honda,82285,Civic,2017,1000,2018,Automatic,Car()
KIA Sephia 2002,"Rs: 2,600,000",km Find,"2026-02-10 | Mattegoda 162,481",gray,Used,1331,Petrol,KIA,162481,Sephia,2002,1331,2003,Automatic,Car(Sedan)
Toyota Belta 2007,"Rs: 5,500,000",km Find,"2026-02-06 | Homagama 166,600",silver,Used,1000,Petrol,Toyota,166600,Belta,2007,1000,2009,Automatic,Car(Saloon)
