Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Suzuki,Wagon R,2018.0,8.0,12000.0,650.0,Maharagama,Used,Petrol,Automatic,Station wagon,white,7200000.0
Suzuki,Alto,2024.0,2.0,0.0,660.0,Kottawa,Brand New,Petrol,Automatic,Hatchback,black,6500000.0
Audi,A3,2018.0,8.0,100000.0,1400.0,Sri Jayawardenepura Kotte,Used,Petrol,Tiptronic,Sedan,white,16500000.0
Toyota,Aqua,2014.0,12.0,195000.0,1500.0,Ampara,Used,Hybrid,Automatic,,white,8250000.0
Toyota,Carina,1997.0,29.0,0.0,1500.0,Dodangoda,Reconditioned,Petrol,Manual,Saloon,gray,5300000.0
Suzuki,Wagon R,2014.0,12.0,89000.0,,Hokandara,Used,Petrol,Automatic,Hatchback,purple,5300000.0
Honda,Fit,2012.0,14.0,0.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Hatchback,white,5800000.0
Suzuki,Wagon R,2017.0,9.0,160000.0,790.0,Moratuwa,Used,Petrol,Automatic,Hatchback,white,5975000.0
Perodua,Kelisa,2007.0,19.0,176000.0,1000.0,Matale,Used,Petrol,Manual,Hatchback,blue,2850000.0
Suzuki,Wagon R,2014.0,12.0,49120.0,660.0,Pannala,Used,Petrol,Automatic,Hatchback,purple,5875000.0
Suzuki,Alto,2006.0,20.0,0.0,650.0,Kuruwita,Used,Petrol,Manual,Liftback,black,2780000.0
Suzuki,Spacia,2017.0,9.0,132000.0,660.0,Ja-Ela,Used,Petrol,Automatic,,white,5890000.0
Toyota,Axio,2015.0,11.0,145000.0,1496.0,Marawila,Used,Petrol,Automatic,Sedan,white,9500000.0
Toyota,Axio,2013.0,13.0,103050.0,1500.0,Narahenpita (Colombo 05),Used,Hybrid,Automatic,Saloon,white,9075000.0
Toyota,Aqua,2013.0,13.0,163000.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,silver,6700000.0
Suzuki,Alto,2016.0,10.0,104000.0,800.0,Homagama,Used,Petrol,Manual,Hatchback,black,3895000.0
Suzuki,Wagon R,2024.0,2.0,2700.0,650.0,Moratuwa,Brand New,Hybrid,Automatic,Liftback,white,8350000.0
